#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTDESC8223;Rather than risking civil war tearing the realm apart, I have decided to give in to your demand and abdicate the throne. But this treacherous act of blackmail will not be forgotten...\n\nSigned,\n[From.GetTitledName];Plutôt que de risquer une guerre civile qui diviserait le royaume, j'ai décidé de répondre favorablement à votre requête et de renoncer au trône. Mais je n'oublierai pas de sitôt votre acte de chantage...\n\nSigné\n[From.GetTitledName];Ich habe beschlossen, mich Eurer Forderung zu beugen und auf den Thron zu verzichten, anstatt einen Bürgerkrieg zu riskieren, der das Reich entzweit. Ich werde Euch diese heimtückische Erpressung jedoch niemals vergessen ...\n\nGezeichnet,\n[From.GetTitledName];;En lugar de arriesgarme a guerra civil que desgarre el reino, he decidido ceder a vuestra demanda y abdicar del trono. Pero este acto traicionero de chantaje no será olvidado...\n\nFirmado,\n[From.GetTitledName];;;;;;;;;x
faction_powerful_vassal_takeover_ultimatum;Demand Abdication;Demander l'abdication;Forderungsverzicht;;Exigir abdicación;;;;;;;;;x
faction_powerful_vassal_takeover_ultimatum_desc;Present an ultimatum to §Y[Root.Liege.GetBestName]§!, demanding that [Root.Liege.GetSheHe] abdicates in favor of the most liked vassal in the realm. If [Root.Liege.GetSubjectPronoun] refuses to comply, your Faction will rise in revolt.;Présentez un ultimatum à §Y[Root.Liege.GetBestName]§!, exigeant qu'[Root.Liege.GetIlElle] abdique en faveur du vassal le plus apprécié du royaume. Si [Root.Liege.GetSilSielleCap] refuse d'obtempérer, votre faction se révoltera.;Stellt §Y[Root.Liege.GetBestName]§! ein Ultimatum und fordert, dass [Root.Liege.GetSheHe] zugunsten des beliebtesten Vasallen im Reich verzichtet. Sollte [Root.Liege.GetSubjectPronoun] dies ablehnen, wird Eure Fraktion einen Aufstand anzetteln.;;Presentar un ultimátum a §Y[Root.Liege.GetBestName]§!, exigiendo que [Root.Liege.GetSheHe] abdique en el vasallo más querido del reino. Si [Root.Liege.GetSubjectPronoun] se niega a aceptar, tu facción se alzará en rebelión.;;;;;;;;;x
CB_NAME_POWERFUL_VASSAL_TAKEOVER;Oust Ruler;Renverser le dirigeant;Herrscher entmachten;;Derrocar al gobernante;;;;;;;;;x
WAR_NAME_POWERFUL_VASSAL_TAKEOVER;$ORDER$War to Oust $DEFENDER$ from Power;$ORDER$Guerre pour renverser $DEFENDER$;$ORDER$Krieg, um $DEFENDER$ zu entmachten;;$ORDER$Guerra para expulsar a $DEFENDER$ del poder;;;;;;;;;x
AIREASON_IS_MY_VASSAL;Is my Vassal;Est mon vassal;Ist mein Vasall;;Es mi vasallo;;;;;;;;;x
EVTOPTREFUSE_WOL100;It will never happen.;Cela n'arrivera jamais.;Das wird niemals geschehen.;;Nunca sucederá.;;;;;;;;;x
EVTDESC_WOL_119;Apparently [FromFromFrom.GetBestName] has a reputation for not giving in to flirting. Any more time spent chasing [FromFromFrom.GetHerHim] is a waste.;[FromFromFrom.GetBestName] a la réputation de ne pas se laisser séduire facilement. Ce badinage est une perte de temps.;Scheinbar hat [FromFromFrom.GetBestName] eine Reputation, nicht auf Flirtversuche einzugehen. Es ist verschwendete Zeit, [FromFromFrom.Getihmihr] nachzustellen.;;Por lo visto [FromFromFrom.GetBestName] tiene reputación de no ceder ante la coquetería. Perder más tiempo persiguiendo[FromFromFrom.GetHerHim] es un desperdicio.;;;;;;;;;x
EVTOPTA_WOL_119;Moving on.;Continuons.;Weiter gehts.;;Pasar a otro.;;;;;;;;;x
EVTDESC_WOL_120;The response from [From.GetBestName] wasn't quite what I expected, apparently I am to 'stay away forever'.;La réponse de [From.GetBestName] n'était pas celle que j'attendais. Apparemment, je dois « garder mes distances ».;Diese Antwort von [From.GetBestName] hatte ich nicht erwartet, wie es aussieht, soll ich mich fernhalten.;;La respuesta de [From.GetBestName] no era exactamente lo que esperaba, al parecer debo ' permanecer lejos para siempre '.;;;;;;;;;x
EVTOPTA_WOL_120;So be it.;Qu’il en soit ainsi.;So sei es.;;Que así sea.;;;;;;;;;x
opinion_seduced_refused;Refused Seduction;Séduction sans succès;Unerwiderte Verführung;;Seducción rechazada;;;;;;;;;x
dismissed_proposal;Rejecting Seduction Attempts;Tentative de séduction avortée;Abgewiesene Verführungsversuche;;Rechazando tentativas de la seducción;;;;;;;;;x
EVTDESC8225;I am humbled by the responsibility given to me today. I accept the title of [new_title_holder.GetTitle] to serve you every way that I can. Your efforts to make a change will be remembered.\n\n[new_title_holder.GetTitledName];La responsabilité qui m'est confiée aujourd'hui m'honore. J'accepte le titre de [new_title_holder.GetTitle] pour vous servir du mieux que je peux. Vos efforts en vue du changement ne seront jamais oubliés.\n\n[new_title_holder.GetTitledName];Ich stehe in Ehrfurcht vor der mir heute zugeteilten Verantwortung. Ich akzeptiere den Titel [new_title_holder.GetTitle], um Euch mit all meiner Macht zu dienen. Eure Bemühungen zum Wandel werden in Erinnerung bleiben.\n\n[new_title_holder.GetTitledName];;Me siento honrado por la responsabilidad que me ha dado hoy. Acepto el título de [new_title_holder.GetTitle] para serviros en cada modo posible. Sus esfuerzos para lograr un cambio serán recordados.\n\n[new_title_holder.GetTitledName];;;;;;;;;x
EVTOPTA8225;Wonderful.;Fantastique.;Wunderbar.;;Maravilloso ;;;;;;;;;x
EVTDESC8226;The faction led by [From.GetBestName] won their war and have chosen me as successor to the title of [Root.GetTitle]. In the future I am expected to show generosity towards anyone who helped make this happen.;La faction menée par [From.GetBestName] a remporté la guerre et a désigné ma personne pour reprendre le titre de [Root.GetTitle]. Ma générosité est attendue à l'avenir envers tous ceux qui ont contribué à ma situation.;Die von [From.GetBestName] angeführte Fraktion konnte den Krieg für sich entscheiden und hat mich als Nachfolger des Titels [Root.GetTitle] auserwählt. Ich werde in Zukunft all jenen meine Großzügigkeit zollen müssen, die dies möglich machten.;;La facción liderada por [From.GetBestName] ganó la guerra y me eligieron como sucesor al título de [Root.GetTitle]. En el futuro se espera que muestre generosidad hacia todos aquellos que ayudaron a que esto sucediese.;;;;;;;;;x
EVTOPTA8226;A great honor.;C'est un grand honneur.;Eine große Ehre.;;Un gran honor.;;;;;;;;;x
EVTOPTHAU;May lead to §YHaughty§!;Pourrait mener à un caractère §Yhautain§!;Kann zu §YÜberheblichkeit§! führen;;Puede llevar a §YAltanero§!;;;;;;;;;x
EVTOPTAFF;May lead to §YAffectionate§!;Pourrait mener à un caractère §Ytendre§!;Kann zu §YAnhänglichkeit§! führen;;Puede llevar a §YAfectuoso§!;;;;;;;;;x
EVTOPTTIM;May lead to §YTimid§!;Pourrait mener à un caractère §Ytimide§!;Kann zu §YFurcht§! führen;;Puede llevar a §YTimido§!;;;;;;;;;x
EVTOPTROW;May lead to §YRowdy§!;Pourrait mener à un caractère §Ychahuteur§!;Kann zu §YRauflust§! führen;;Puede llevar a §Yalborotado§!;;;;;;;;;x
EVTOPTWIL;May lead to §YWillful§!;Pourrait mener à un caractère §Yopiniâtre§!;Kann zu §YSturheit§! führen;;Puede llevar a §Ytozudo§!;;;;;;;;;x
EVTOPTBRO;May lead to §YBrooding§!;Pourrait mener à un caractère §Ysongeur§!;Kann zu §YGrübelei§! führen;;Puede llevar a §Yamenazador§!;;;;;;;;;x
EVTOPTIND;May lead to §YIndolent§!;Pourrait mener à un caractère §Yveule§!;Kann zu §YTrägheit§! führen;;Puede llevar a §Yindolente§!;;;;;;;;;x
EVTOPTPLA;May lead to §YPlayful§!;Pourrait mener à un caractère §Yespiègle§!;Kann zu §YAusgelassenheit§! führen;;Puede llevar a §Yjuguetón§!;;;;;;;;;x
EVTOPTCON;May lead to §YConscientious§!;Pourrait mener à un caractère §Yconsciencieux§!;Kann zu §YPflichtbewusstsein§! führen;;Puede llevar a §Yconcienzudo§!;;;;;;;;;x
EVTOPTFUS;May lead to §YFussy§!;Pourrait mener à un caractère §Ypointilleux§!;Kann zu §YÜbereifer§! führen;;Puede llevar a §Yquisquilloso§!;;;;;;;;;x
EVTOPTIDO;May lead to §YIdolizer§!;Pourrait mener à un caractère §Yidolâtre§!;Kann zu §YAnbetung§! führen;;Puede llevar a §Yadorador§!;;;;;;;;;x
EVTOPTHAU_FROM;§Y[From.GetFirstName]§! may gain §YHaughty§!;§Y[From.GetFirstName]§! pourrait développer un caractère §Yhautain§!;§Y[From.GetFirstName]§! wird eventuell §Yüberheblich§!;;§Y[From.GetFirstName]§! obtendría §YAltanero§!;;;;;;;;;x
EVTOPTAFF_FROM;§Y[From.GetFirstName]§! may gain §YAffectionate§!;§Y[From.GetFirstName]§! pourrait développer un caractère §Ytendre§!;§Y[From.GetFirstName]§! wird eventuell §Yanhänglich§!;;§Y[From.GetFirstName]§! obtendría §YAfectuoso§!;;;;;;;;;x
EVTOPTTIM_FROM;§Y[From.GetFirstName]§! may gain §YTimid§!;§Y[From.GetFirstName]§! pourrait développer un caractère §Ytimide§!;§Y[From.GetFirstName]§! wird eventuell §Yschreckhaft§!;;§Y[From.GetFirstName]§! obtendría §YTimido§!;;;;;;;;;x
EVTOPTROW_FROM;§Y[From.GetFirstName]§! may gain §YRowdy§!;§Y[From.GetFirstName]§! pourrait développer un caractère §Ychahuteur§!;§Y[From.GetFirstName]§! wird eventuell §Yrauflustig§!;;§Y[From.GetFirstName]§! obtendría §Yalborotado§!;;;;;;;;;x
EVTOPTWIL_FROM;§Y[From.GetFirstName]§! may gain §YWillful§!;§Y[From.GetFirstName]§! pourrait développer un caractère §Yopiniâtre§!;§Y[From.GetFirstName]§! wird eventuell §Ystur§!;;§Y[From.GetFirstName]§! obtendría §Ytozudo§!;;;;;;;;;x
#EVTOPTBRO_FROM;§Y[From.GetFirstName]§! may gain §YBrooding§!;§Y[From.GetFirstName]§! pourrait développer un caractère §Ysongeur§!;§Y[From.GetFirstName]§! wird eventuell §Ygrübeln§!;;§Y[From.GetFirstName] obtendría §Yamenazador§!;;;;;;;;;x
EVTOPTIND_FROM;§Y[From.GetFirstName]§! may gain §YIndolent§!;§Y[From.GetFirstName]§! pourrait développer un caractère §Yveule§!;§Y[From.GetFirstName]§! wird eventuell §Yverzagt§!;;§Y[From.GetFirstName] obtendría §Yindolente§!;;;;;;;;;x
EVTOPTPLA_FROM;§Y[From.GetFirstName]§! may gain §YPlayful§!;§Y[From.GetFirstName]§! pourrait développer un caractère §Yespiègle§!;§Y[From.GetFirstName]§! wird eventuell §Yausgelassen§!;;§Y[From.GetFirstName] obtendría §Yjuguetón§!;;;;;;;;;x
EVTOPTCON_FROM;§Y[From.GetFirstName]§! may gain §YConscientious§!;§Y[From.GetFirstName]§! pourrait développer un caractère §Yconsciencieux§!;§Y[From.GetFirstName]§! wird eventuell §Ypflichtbewusst§!;;§Y[From.GetFirstName] obtendría §Yconcienzudo§!;;;;;;;;;x
EVTOPTFUS_FROM;§Y[From.GetFirstName]§! may gain §YFussy§!;§Y[From.GetFirstName]§! pourrait développer un caractère §Ypointilleux§!;§Y[From.GetFirstName]§! wird eventuell §Yübereifrig§!;;§Y[From.GetFirstName] obtendría §Yquisquilloso§!;;;;;;;;;x
EVTOPTIDO_FROM;§Y[From.GetFirstName]§! may gain §YIdolizer§!;§Y[From.GetFirstName]§! pourrait développer un caractère §Yidolâtre§!;§Y[From.GetFirstName]§! wird eventuell §Yanbetend§!;;§Y[From.GetFirstName] obtendría §Yadorador§!;;;;;;;;;x
pattern_selfish_affects_council_stability_tooltip;This affects the stability of the Council!\n;La stabilité du Conseil s'en trouve affectée !\n;Dies beeinflusst die Stabilität des Rates!\n;;¡Esto afecta la estabilidad del Consejo!\n;;;;;;;;;x
pattern_glory_hound_weakening_ruling_dynasty_tooltip;I do not want you to weaken your Dynasty!\n;Votre dynastie ne doit pas être affaiblie !\n;Ich möchte nicht, dass Ihr Eure Dynastie schwächt!\n;;¡No quiero que debilites tu Dinastía!\n;;;;;;;;;x
pattern_glory_hound_weakening_powerful_vassal_tooltip;I do not want you to weaken Powerful vassals!\n;Vos puissants vassaux ne doivent pas être affaiblis !\n;Ich möchte nicht, dass Ihr mächtige Vasallen schwächt!\n;;¡No quiero que debilites a vasallos Poderosos!\n;;;;;;;;;x
pattern_glory_hound_defenseless_child_tooltip;There is no glory in this, the character is a defenseless child!\n;Il n'y a aucune gloire à gagner, ce n'est qu'une cible sans défense !\n;Es gibt in dieser Sache keinen Ruhm, der Charakter ist ein hilfloses Kind!\n;;¡No puedo enorgullecerme de esto, el personaje es un niño indefenso!\n;;;;;;;;;x
pattern_pragmatist_dislike_landing_ruling_family_tooltip;I do not want you to grant land to your Dynasty!\n;Vous ne devez pas donner des terres à votre dynastie !\n;Ich möchte nicht, dass Ihr Eurer Dynastie Land zusprecht!\n;;¡No quiero que concedas tierras a tu Dinastía!\n;;;;;;;;;x
pattern_pragmatist_were_already_busy_fighting_tooltip;We're already busy fighting another war\n;Nous menons déjà une autre guerre.\n;Wir kämpfen bereits in einem anderen Krieg\n;;Ya estamos ocupados luchando otra guerra\n;;;;;;;;;x
pattern_pragmatist_were_not_already_busy_fighting_tooltip;We are not occupied with another war\n;Aucune autre guerre ne nous occupe en ce moment.\n;Wir sind zurzeit in keinen anderen Krieg verwickelt\n;;No estamos ocupados con otra guerra\n;;;;;;;;;x
pattern_zealot_should_focus_on_great_holy_war;There is an ongoing [Root.Religion.GetCrusadeName] that I want us to focus on\n;Je veux que vous vous occupiez de la [Root.Religion.GetCrusadeName] en cours.\n;Es gibt aktuell keinen [Root.Religion.GetCrusadeName], auf den wir uns konzentrieren sollten\n;;Hay un curso [Root.Religion.GetCrusadeName] en la que quiero que nos fijemos\n;;;;;;;;;x
pattern_zealot_fromfrom_is_pious_tooltip;The target is pious and of my religion\n;La cible est pieuse et partage ma religion.\n;Das Ziel ist fromm und von meiner Religion\n;;El objetivo es piadoso y de mi religión\n;;;;;;;;;x
pattern_vastly_over_demesne_tooltip;You are vastly over your Demesne Limit and are handing out a Barony or a County\n;Vous dépassez largement votre limite de domaine et devez confier une baronnie ou un comté.\n;Ihr überschreitet Euer Domänen-Limit immens und bietet eine Baronie oder Grafschaft feil\n;;Has superado enormemente tu Límite de Dominio y repartes una baronía o un condado\n;;;;;;;;;x
out_of_patience;Out of Patience;À bout de nerfs;Keine Geduld mehr;;Impaciente;;;;;;;;;x
chattermouth;Chattermouth;Commère;Quasselstrippe;;Charlatán;;;;;;;;;x
too_honest;Too Honest;Trop honnête;Zu ehrlich;;Demasiado honesto;;;;;;;;;x
impious_teachings;Impious Teachings;Enseignements impies;Unfromme Lehren;;Enseñanzas impías;;;;;;;;;x
opinion_hypocrite;Hypocrite;Hypocrite;Heuchler;;hipócrita;;;;;;;;;x
opinion_boring;Boring;Pénible;Langweilig;;aburrido ;;;;;;;;;x
EVTOPTC_ZE_13620;[From.GetFirstName] must learn on [From.GetHerHis] own.;[From.GetFirstName] doit apprendre par [From.GetLuiElle]-même.;[From.GetFirstName] muss es alleine lernen.;;[From.GetFirstName] debe aprender por [From.GetHerHis] solo/a.;;;;;;;;;x
EVTDESC_ZE_13625;As [From.GetSheHe] is growing older, I can see that [From.GetFirstName] could use some guidance in some of my experienced areas. It will require hard work and may not always be appreciated but this is my chance to make a self-sacrifice for the sake of [From.GetFirstName].;Je vois qu'en prenant de l'âge, [From.GetFirstName] pourrait mettre à profit mon expertise dans certains domaines. La tâche sera ardue et ingrate, mais c'est la seule occasion de donner de ma personne pour [From.GetFirstName].;Jetzt, da [From.GetSheHe] älter wird, kann ich sehen, dass [From.GetFirstName] von meiner Erfahrung profitieren kann. Dies wird mit harter Arbeit verbunden sein und nicht immer geschätzt werden, doch es ist meine Chance, mich zum Wohle von [From.GetFirstName] aufzuopfern.;;Según [From.GetSheHe] crece, veo que [From.GetFirstName] podría aprovechar un poco de guía en algunas de mis áreas de experiencia. Requerirá trabajo duro y no siempre será apreciado pero esta es mi posibilidad de hacer un sacrificio por [From.GetFirstName].;;;;;;;;;x
EVTDESC_ZE_13620;As [From.GetSheHe] is growing older, I can see that [From.GetFirstName] could use some guidance in one of my experienced areas, diplomacy. This is my chance to make an effort for the sake of [From.GetHerHis] education but what can I offer?;Je vois qu'en prenant de l'âge, [From.GetFirstName] pourrait mettre à profit mon expertise dans certains domaines, comme la diplomatie. C'est l'occasion de contribuer à l'éducation de [From.GetFirstName], mais que puis-je lui offrir ?;Jetzt, da [From.GetSheHe] älter wird, kann ich sehen, dass [From.GetFirstName] von meiner Erfahrung in Diplomatie profitieren kann. Dies ist meine Chance, mich für [From.GetHerHis]e Erziehung einzusetzen, doch was kann ich bieten?;;Según [From.GetSheHe] crece, veo que [From.GetFirstName] podría aprovechar un poco de guía  en una de mis áreas de experiencia, diplomacia. Esta es mi oportunidad de hacer un esfuerzo por el bien de la educación [From.GetHerHis] pero, ¿qué puedo ofrecer?;;;;;;;;;x
EVTDESC_ZE_13621;As [From.GetSheHe] is growing older, I can see that [From.GetFirstName] could use some guidance in one of my experienced areas, the art of war. This is my chance to make an effort for the sake of [From.GetHerHis] education but what can I offer?;Je vois qu'en prenant de l'âge, [From.GetFirstName] pourrait mettre à profit mon expertise dans certains domaines, comme l'art de la guerre. C'est l'occasion de contribuer à l'éducation de [From.GetFirstName], mais que puis-je lui offrir ?;Jetzt, da [From.GetSheHe] älter wird, kann ich sehen, dass [From.GetFirstName] von meiner Erfahrung in Kriegskunst profitieren kann. Dies ist meine Chance, mich für [From.GetHerHis]e Erziehung einzusetzen, doch was kann ich bieten?;;Según [From.GetSheHe] crece, veo que [From.GetFirstName] podría aprovechar un poco de guía en una de mis áreas de experiencia, el arte de la guerra. Esta es mi oportunidad de esforzarme por el bien de [From.GetHerHis] educación pero, ¿qué puedo ofrecer?;;;;;;;;;x
EVTDESC_ZE_13622;As [From.GetSheHe] is growing older, I can see that [From.GetFirstName] could use some guidance in one of my experienced areas, stewardship. This is my chance to make an effort for the sake of [From.GetHerHis] education but what can I offer?;Je vois qu'en prenant de l'âge, [From.GetFirstName] pourrait mettre à profit mon expertise dans certains domaines, comme l'intendance. C'est l'occasion de contribuer à l'éducation de [From.GetFirstName], mais que puis-je lui offrir ?;Jetzt, da [From.GetSheHe] älter wird, kann ich sehen, dass [From.GetFirstName] von meiner Erfahrung in Verwaltung profitieren kann. Dies ist meine Chance, mich für [From.GetHerHis]e Erziehung einzusetzen, doch was kann ich bieten?;;Según [From.GetSheHe] crece, veo que [From.GetFirstName] podría aprovechar un poco de guía en una de mis áreas de experiencia, gobierno. Esta es mi oportunidad de esforzarme por el bien de [From.GetHerHis] educación pero, ¿qué puedo ofrecer?;;;;;;;;;x
EVTDESC_ZE_13623;As [From.GetSheHe] is growing older, I can see that [From.GetFirstName] could use some guidance in one of my experienced areas, intrigue. This is my chance to make an effort for the sake of [From.GetHerHis] education but what can I offer?;Je vois qu'en prenant de l'âge, [From.GetFirstName] pourrait mettre à profit mon expertise dans certains domaines, comme l'intrigue. C'est l'occasion de contribuer à l'éducation de [From.GetFirstName], mais que puis-je lui offrir ?;Jetzt, da [From.GetSheHe] älter wird, kann ich sehen, dass [From.GetFirstName] von meiner Erfahrung in Intrigen profitieren kann. Dies ist meine Chance, mich für [From.GetHerHis]e Erziehung einzusetzen, doch was kann ich bieten?;;Según [From.GetSheHe] crece, veo que [From.GetFirstName] podría aprovechar un poco de guía  en una de mis áreas de experiencia, la intriga. Esta es mi oportunidad de esforzarme por el bien de [From.GetHerHis] educación, ¿qué puedo ofrecer?;;;;;;;;;x
EVTDESC_ZE_13624;As [From.GetSheHe] is growing older, I can see that [From.GetFirstName] could use some guidance in one of my experienced areas, learning. This is my chance to make an effort for the sake of [From.GetHerHis] education but what can I offer?;Je vois qu'en prenant de l'âge, [From.GetFirstName] pourrait mettre à profit mon expertise dans certains domaines, comme l'érudition. C'est l'occasion de contribuer à l'éducation de [From.GetFirstName], mais que puis-je lui offrir ?;Jetzt, da [From.GetSheHe] älter wird, kann ich sehen, dass [From.GetFirstName] von meiner Erfahrung in Bildung profitieren kann. Dies ist meine Chance, mich für [From.GetHerHis]e Erziehung einzusetzen, doch was kann ich bieten?;;Según [From.GetSheHe] crece, veo que [From.GetFirstName] podría aprovechar un poco de guía  en una de mis áreas de experiencia, aprendizaje. Esta es mi oportunidad de esforzarme por el bien de [From.GetHerHis] educación pero, ¿qué puedo ofrecer;;;;;;;;;x
EVTDESC_ZE_22800;It is clear to you that [Root.Liege.GetTitledFirstName]'s commanders are nothing more than rabble - all brawn and no finesse. You, on the other hand, are an experienced tactician and a great teacher to boot! Perhaps you should offer to train [Root.Liege.GetFirstName]'s commanders in the hopes of gaining [Root.Liege.GetHerHis] favor?;Les commandants de [Root.Liege.GetTitledFirstName] ne sont pour vous que des agitateurs, des tas de muscles sans cervelle. Vous, à l'inverse, êtes un tacticien expérimenté et un fin professeur ! Peut-être pourriez-vous entraîner les commandants de [Root.Liege.GetFirstName] dans l'espoir de gagner sa faveur ?;Es ist offensichtlich, dass die Befehlshaber von [Root.Liege.GetTitledFirstName] nichts weiter als Gesindel sind. Nur Muskeln, keine Finesse. Ihr dagegen seid erfahrener Taktiker und eine ausgezeichnete Lehrkraft! Vielleicht solltet Ihr anbieten, die Befehlshaber von [Root.Liege.GetFirstName] zu trainieren, in der Hoffnung auf [Root.Liege.GetHerHis]e Gunst?;;Es claro que los comandantes de [Root.Liege.GetTitledFirstName] no son más que gentuza - todo fuerza física y ninguna delicadeza. Tú, por el contrario, eres un estratega experimentado ¡y además un gran maestro! ¿Tal vez deberías ofrecerte formar a los  comandantes de [Root.Liege.GetFirstName] en la esperanza de obtener [Root.Liege.GetHerHis] favor?;;;;;;;;;x
EVTOPTA_ZE_22800;I shall send [Root.Liege.GetHerHim] a letter offering my services!;Je devrais lui faire parvenir une lettre afin de lui proposer mes services !;Ich werde [Root.Liege.Getihmihr] einen Brief mit dem Angebot meiner Dienste zusenden!;;¡[Root.Liege.GetHerHim] escribiré una carta ofreciendo mis servicios!;;;;;;;;;x
EVTOPTB_ZE_22800;It is not worth it.;Ça n'en vaut pas la peine.;Das ist es nicht wert.;;No vale la pena.;;;;;;;;;x
EVTDESC_ZE_22801;To my liege, the [GetFromRootCompliment] [Root.GetFirstName],\nIt has not escaped me that several of your commanders lack formal training in military tactics. I would like to offer my services by training [commander_one.GetFirstName], [commander_two.GetFirstName] and [commander_three.GetFirstName] in the use of advanced battlefield stratagems!\n\nRegards,\n[From.GetTitledName];M[Root.Liege.GetOnA] [Root.Liege.GetLordLady],\nIl n'a pas échappé à mon attention que nombre de vos commandants sont peu versés dans l'art des tactiques militaires. Je souhaite proposer mes services afin d'entraîner [commander_one.GetFirstName], [commander_two.GetFirstName] et [commander_three.GetFirstName] à l'usage de stratagèmes avancés sur le champ de bataille !\n\nAvec mes respectueux hommages,\n[From.GetTitledName];An [Root.GetFirstName],\nes ist mir nicht entgangen, dass viele Eurer Befehlshaber ein formales Training in militärischen Taktiken entbehren. Ich möchte meine Dienste zum Training von [commander_one.GetFirstName], [commander_two.GetFirstName] und [commander_three.GetFirstName] im Einsatz fortgeschrittener Kriegstaktiken auf dem Schlachtfeld anbieten!\n\nVoller Hochachtung\n[From.GetTitledName];;A mi señor, [GetFromRootCompliment] [Root.GetFirstName],\n\nNo ha escapado me que varios de sus comandantes carecen de formación en tácticas militares. ¡Me gustaría ofrecer mis servicios para adiestrar a [commander_one.GetFirstName], [commander_two.GetFirstName] y [commander_three.GetFirstName] en el uso de estratagemas del campo de batalla avanzadas!\n\nSaludos,\n[From.GetTitledName];;;;;;;;;x
EVTOPTA_ZE_22801;A most generous offer, for this I will owe [From.GetHerHim]!;Je lui suis redevable pour cette offre généreuse !;Ein großzügiges Angebot, ich danke euch!;;¡Una oferta generosa en extremo, ¡[From.GetHerHim] deberé mucho!;;;;;;;;;x
EVTOPTB_ZE_22801;No! [From.GetSheHeCap] is just trying to gain leverage on me!;[From.GetIlElleCap] essaie simplement de m'avoir à sa botte !;Nein! [From.GetSheHeCap] möchte nur den Einfluss auf mich erhöhen!;;¡No! ¡[From.GetSheHeCap] sólo trata de ganar influencia sobre mí!;;;;;;;;;x
EVTDESC_ZE_22802;To my loyal subject, the [GetFromRootCompliment] [Root.GetFirstName],\n\nYour offer is most generous! I graciously accept your offer and will remember this good deed in the future.\n\nRegards,\n[From.GetTitledName];[Root.GetFirstName], [GetFromRootComplimentNounAdj],\n\nJ'accepte gracieusement votre offre généreuse et n'oublierai pas cette bonne action.\n\nAvec mes hommages,\n[From.GetTitledName];An meinen loyalen Untertan [Root.GetFirstName],\nEuer Angebot ist sehr großzügig! Ich nehme Euer Angebot gerne in Anspruch und werde Euch diese gute Tat nicht vergessen.\n\nGezeichnet,\n[From.GetTitledName];;A mi súbdito leal, [GetFromRootCompliment] [Root.GetFirstName],\n\n¡Tu oferta es de lo más generosa! Graciosamente acepto tu oferta y recordaré esta buena acción en el futuro.\n\nSaludos,\n[From.GetTitledName];;;;;;;;;x
EVTOPTA_ZE_22802;Excellent! Now I have leverage on [From.GetHerHim]...;Parfait ! Je jouis désormais d'une certaine influence sur [From.GetLuiElle]...;Ausgezeichnet. Mein Einfluss wächst ...;;¡Excelente! Ahora tengo influencia sobre [From.GetHerHim]...;;;;;;;;;x
EVTDESC_ZE_22803;To my subject, the [GetFromRootInsult] [Root.GetFirstName],\n\nYour offer is obviously nothing but thinly-veiled deception. That you would even suggest that my commanders are anything but the very best is an insult!\n\nRegards,\n[From.GetTitledName];À mon sujet [Root.GetFirstName], espèce de [GetFromRootInsultNounAdj],\n\nVotre offre sournoise ne trompe personne. Insinuer que mes commandants ne méritent pas leur grade est une insulte !\n\nCordialement,\n[From.GetTitledName];An meinen Untertan, die Ratte [Root.GetFirstName],\nEuer Angebot ist nichts weiter als schlecht getarnte Täuschung. Dass Ihr es wagt, anzudeuten, meine Befehlshaber seien nicht die Besten, ist eine Beleidigung!\n\nGezeichnet,\n[From.GetTitledName];;A mi súbdito, [GetFromRootInsult] [Root.GetFirstName],\n\n Tu oferta no es obviamente más que engaño velado. ¡Sugerir que mis comandantes no son los mejores es un insulto!\n\nSaludos,\n[From.GetTitledName];;;;;;;;;x
EVTOPTA_ZE_22803;This was not what I meant to happen!;Ce n'est pas ce à quoi je m'attendais !;Das habe ich nicht beabsichtigt!;;¡No pensaba que ocurriría esto!;;;;;;;;;x
EVTOPTA_ZE_13620;Honesty, if anything.;Ça a le mérite d'être honnête, au moins.;Ehrlichkeit und nichts anderes.;;Honestidad ante todo.;;;;;;;;;x
EVTOPTB_ZE_13620;Being sociable is key.;Le savoir-vivre est la clef.;Kontaktfreudigkeit ist der Schlüssel.;;Ser sociable es clave.;;;;;;;;;x
EVTOPTA_ZE_13621;Show bravery to inspire others.;Votre bravoure inspire les autres.;Zeigt Tapferkeit, um andere zu inspirieren.;;Muestra la valentía para inspirar a otros.;;;;;;;;;x
EVTOPTB_ZE_13621;I'll have to toughen [From.GetHerHim] up...;Je vais devoir l'endurcir...;Ich muss [From.GetHerHim] abhärten ...;;Tendré que endurecer[From.GetHerHim]...;;;;;;;;;x
EVTOPTA_ZE_13622;Treat all as equals.;Équité pour tous.;Behandelt alle gleich.;;Tratar a todos como iguales.;;;;;;;;;x
EVTOPTB_ZE_13622;Self-restraint, a life of moderation.;Retenue et modération, un art de vivre.;Zurückhaltung, ein moderates Leben.;;Dominio de uno mismo, una vida de moderación.;;;;;;;;;x
EVTOPTA_ZE_13623;Knowledge is power others don't need.;Le savoir est une arme dont les autres n'ont que faire.;Wissen ist Macht, die andere nicht brauchen.;;Conocimiento es poder, que otros no necesitan.;;;;;;;;;x
EVTOPTB_ZE_13623;Others may try to trick you.;D'autres essaieront de vous duper.;Andere werden versuchen, Euch reinzulegen.;;Otros pueden tratar de engañarte.;;;;;;;;;x
